iteration,avg_dist,max_dist,min_dist
1,14176.346,19224.354,9279.757
2,13484.224,17873.229,9873.992
3,13069.103,17472.22,8763.578
4,12714.046,16578.596,9462.425
5,12431.211,17180.19,8691.076
6,11985.781,16071.178,9123.213
7,11811.88,17777.54,8188.7466
8,11667.545,17128.828,8088.1475
9,11503.917,17033.326,7301.2627
10,11313.696,15290.374,8276.908
11,11010.503,15150.372,7505.993
12,10983.864,15595.268,7657.337
13,10861.198,16252.918,7459.227
14,10698.878,15825.618,7485.5713
15,10735.323,15546.48,7139.6143
16,10619.712,15093.577,6946.053
17,10622.654,13973.872,7217.5405
18,10503.618,13715.999,7408.571
19,10295.465,14799.51,7004.07
20,10291.176,14661.429,6975.35
21,10146.729,13916.748,7264.6626
22,10124.888,14218.025,7091.8066
23,10214.078,13700.751,7086.2754
24,10064.574,12936.767,6983.4824
25,9863.598,14163.475,6928.994
26,9873.157,13860.294,6786.942
27,9794.591,13527.399,6804.769
28,9823.087,12968.488,6903.2886
29,9622.803,13481.15,6830.9927
30,9696.448,13608.893,6959.2363
31,9564.57,12648.56,6768.6035
32,9545.595,14910.646,6835.6733
33,9465.857,13436.279,6781.3774
34,9517.536,13312.757,6798.9087
35,9414.983,13273.149,6895.213
36,9391.753,12737.365,6746.99
37,9322.237,12603.451,6793.774
38,9358.102,12625.996,6843.6904
39,9246.096,13279.682,6770.0806
40,9125.671,12577.83,6665.38
41,9239.077,12993.541,6754.984
42,9168.793,12360.291,6730.2573
43,9191.652,12464.179,6772.2593
44,9004.728,13250.2,6851.556
45,9027.628,12307.844,6772.7153
46,9014.136,12629.45,6799.631
47,9035.738,12781.275,6740.9116
48,8922.296,13257.916,6664.1196
49,8943.172,12402.469,6771.5376
50,8909.031,12406.828,6770.0806
51,8922.489,14718.654,6665.3794
52,8834.152,12299.92,6698.0586
53,8829.71,12597.617,6771.3403
54,8787.877,12312.249,6686.5557
55,8731.038,12248.511,6732.408
56,8742.728,12311.03,6766.3926
57,8777.729,12398.045,6665.38
58,8824.271,12091.194,6694.7324
59,8703.748,12983.902,6665.3804
60,8746.736,12371.632,6710.299
61,8823.47,12441.371,6664.1196
62,8654.83,12699.458,6779.368
63,8658.091,12919.283,6697.8936
64,8615.209,12786.896,6673.408
65,8519.824,12932.858,6665.38
66,8491.896,12168.35,6687.062
67,8584.311,11605.004,6698.9727
68,8594.311,12055.609,6711.5596
69,8575.236,12445.744,6663.2217
70,8477.595,12197.551,6713.2134
71,8562.581,12252.857,6664.1196
72,8484.886,12594.403,6660.436
73,8545.3125,11902.631,6666.1147
74,8551.713,12706.215,6711.559
75,8393.226,11784.867,6664.1196
76,8512.078,12305.069,6779.369
77,8499.313,12312.247,6745.586
78,8458.822,12576.655,6699.516
79,8478.214,11980.0625,6711.756
80,8407.813,12883.394,6770.0806
81,8389.796,12086.808,6705.369
82,8325.488,12014.686,6665.38
83,8392.947,12205.74,6664.1196
84,8408.687,12894.337,6697.8735
85,8370.186,12529.719,6663.2217
86,8316.0205,11665.5,6659.44
87,8332.821,11695.635,6712.5024
88,8356.346,11724.437,6665.38
89,8299.027,11285.09,6673.408
90,8318.979,11572.787,6673.408
91,8293.909,11686.929,6664.1196
92,8347.2295,12355.592,6729.6187
93,8223.445,11179.324,6710.299
94,8273.442,12253.834,6664.1196
95,8250.376,12532.212,6665.5767
96,8258.42,11273.861,6664.119
97,8251.737,11897.079,6741.078
98,8185.322,11571.928,6663.2217
99,8255.882,11211.952,6700.9736
100,8268.797,12129.4795,6697.646
101,8202.923,12386.498,6673.408
102,8229.683,11487.902,6684.1465
103,8246.258,12069.13,6665.3804
104,8272.588,11595.097,6696.492
105,8177.4707,11712.742,6697.647
106,8155.4604,12080.374,6663.2217
107,8263.237,11478.391,6664.1196
108,8197.064,11747.696,6673.408
109,8197.624,11643.176,6665.38
110,8219.665,11462.758,6665.5767
111,8237.595,11798.401,6665.38
112,8126.117,11676.27,6665.3804
113,8196.689,11469.87,6664.1196
114,8190.9424,12393.162,6746.967
115,8161.787,12550.283,6665.5767
116,8147.4517,11353.677,6665.3804
117,8223.409,12016.0625,6665.38
118,8173.53,12051.28,6743.826
119,8185.0796,11665.37,6711.559
120,8107.3164,11024.388,6696.602
121,8103.608,11963.7,6705.89
122,8079.606,11543.705,6664.1196
123,8114.541,11648.18,6665.38
124,8106.507,11718.042,6746.956
125,8065.372,12308.605,6665.5767
126,8153.197,11501.197,6697.873
127,8099.194,11708.1875,6719.5874
128,8167.509,11737.122,6697.6475
129,7979.403,11296.58,6673.408
130,8080.127,11509.481,6664.1196
131,8041.7793,10855.44,6709.401
132,8049.7983,11230.157,6664.1196
133,8130.5776,10799.904,6694.733
134,8093.0225,11400.876,6673.4077
135,8041.6367,11791.305,6665.38
136,8077.8306,11588.844,6673.408
137,8128.955,11141.246,6673.408
138,7958.811,12399.551,6664.1196
139,7985.0522,11348.739,6664.1196
140,8073.8647,11413.979,6697.8936
141,8009.588,12107.237,6711.559
142,8003.399,11815.336,6664.12
143,8041.6367,11995.891,6664.1196
144,8020.083,12005.923,6666.1357
145,8016.6567,11506.2295,6664.1196
146,8095.725,11138.138,6712.502
147,8009.588,11569.082,6665.38
148,8087.011,12356.191,6665.38
149,8040.1797,11142.3955,6664.1196
150,7990.573,10793.678,6664.1196
151,8000.625,11235.701,6665.5767
152,8018.755,11815.254,6712.5024
153,7915.993,12466.45,6727.215
154,7949.11,11522.325,6711.5596
155,7966.9478,10974.092,6664.1196
156,8025.413,11605.812,6668.491
157,8012.8853,11058.082,6673.408
158,8025.7373,11239.951,6673.407
159,8068.039,11213.489,6715.416
160,7979.7236,11150.288,6665.3804
161,7869.5547,11092.617,6753.451
162,7982.8823,10433.309,6665.38
163,7875.7256,11397.823,6664.12
164,7938.146,11639.15,6665.38
165,7938.8013,10563.32,6664.1196
166,7847.035,11940.167,6665.3804
167,7963.408,11446.267,6664.12
168,7913.9375,10967.005,6697.8623
169,7945.54,13286.662,6697.8623
170,7951.558,10589.535,6673.408
171,7939.962,11256.618,6665.38
172,7948.95,11865.594,6696.602
173,7962.7544,11089.885,6665.38
174,7992.891,11450.854,6694.7324
175,7829.888,11671.526,6665.38
176,7956.602,12559.354,6697.8623
177,7870.304,11310.959,6663.2217
178,7974.073,11339.304,6712.502
179,7915.8994,11043.574,6668.294
180,7846.074,10953.446,6664.12
